"Date","Price","Open","High","Low","Change %"
"Sep 18, 2020","1.1837","1.1848","1.1871","1.1826","-0.08%"
"Sep 17, 2020","1.1847","1.1816","1.1854","1.1737","0.28%"
"Sep 16, 2020","1.1814","1.1850","1.1883","1.1787","-0.26%"
"Sep 15, 2020","1.1845","1.1865","1.1901","1.1839","-0.19%"
"Sep 14, 2020","1.1868","1.1840","1.1889","1.1830","0.19%"
"Sep 11, 2020","1.1845","1.1814","1.1875","1.1812","0.27%"
"Sep 10, 2020","1.1813","1.1801","1.1918","1.1800","0.09%"
"Sep 09, 2020","1.1802","1.1777","1.1834","1.1753","0.20%"
"Sep 08, 2020","1.1779","1.1817","1.1829","1.1765","-0.32%"
"Sep 07, 2020","1.1817","1.1833","1.1849","1.1811","-0.18%"
"Sep 04, 2020","1.1838","1.1850","1.1866","1.1781","-0.09%"
"Sep 03, 2020","1.1849","1.1852","1.1866","1.1789","-0.03%"
"Sep 02, 2020","1.1853","1.1911","1.1931","1.1822","-0.48%"
"Sep 01, 2020","1.1910","1.1936","1.2012","1.1901","-0.22%"
"Aug 31, 2020","1.1936","1.1899","1.1967","1.1883","0.28%"
"Aug 28, 2020","1.1903","1.1822","1.1920","1.1810","0.69%"
"Aug 27, 2020","1.1821","1.1831","1.1902","1.1762","-0.07%"
"Aug 26, 2020","1.1829","1.1834","1.1841","1.1772","-0.03%"
"Aug 25, 2020","1.1833","1.1793","1.1845","1.1783","0.39%"
"Aug 24, 2020","1.1787","1.1787","1.1851","1.1783","-0.07%"
"Aug 21, 2020","1.1795","1.1860","1.1883","1.1754","-0.54%"
"Aug 20, 2020","1.1859","1.1839","1.1869","1.1802","0.19%"
"Aug 19, 2020","1.1836","1.1931","1.1954","1.1830","-0.78%"
"Aug 18, 2020","1.1929","1.1870","1.1967","1.1865","0.51%"
"Aug 17, 2020","1.1869","1.1840","1.1882","1.1829","0.24%"
"Aug 14, 2020","1.1841","1.1815","1.1852","1.1782","0.25%"
"Aug 13, 2020","1.1812","1.1786","1.1865","1.1781","0.25%"
"Aug 12, 2020","1.1782","1.1740","1.1816","1.1710","0.37%"
"Aug 11, 2020","1.1739","1.1738","1.1808","1.1722","0.03%"
"Aug 10, 2020","1.1736","1.1788","1.1803","1.1736","-0.42%"
"Aug 07, 2020","1.1786","1.1877","1.1884","1.1755","-0.75%"
"Aug 06, 2020","1.1875","1.1863","1.1917","1.1818","0.12%"
"Aug 05, 2020","1.1861","1.1802","1.1906","1.1793","0.52%"
"Aug 04, 2020","1.1800","1.1765","1.1807","1.1720","0.33%"
"Aug 03, 2020","1.1761","1.1783","1.1797","1.1696","-0.11%"
"Jul 31, 2020","1.1774","1.1846","1.1910","1.1760","-0.61%"
"Jul 30, 2020","1.1846","1.1788","1.1849","1.1731","0.47%"
"Jul 29, 2020","1.1790","1.1718","1.1807","1.1714","0.65%"
"Jul 28, 2020","1.1714","1.1753","1.1774","1.1698","-0.31%"
"Jul 27, 2020","1.1751","1.1646","1.1782","1.1637","0.83%"
"Jul 24, 2020","1.1654","1.1597","1.1659","1.1580","0.52%"
"Jul 23, 2020","1.1594","1.1575","1.1628","1.1539","0.22%"
"Jul 22, 2020","1.1568","1.1528","1.1602","1.1507","0.36%"
"Jul 21, 2020","1.1526","1.1447","1.1540","1.1422","0.72%"
